row_id,input_type,input_text,output_json,skip_reason,industry,monthly_revenue_raw,use_of_funds,requested_amount_raw,product_interest,pending_actions_count,has_stacked_history,current_active_positions_count,recent_stacking_active,review_flag
notes_016,rep_note,took [LENDER] got $20k only borrowed 5k - has some credit cards he wants to pay off with [LENDER],"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":{""category"":""debt_consolidation"",""detail"":""credit cards""},""requested_amount"":null,""product_interest"":[""HELOC""],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,debt_consolidation: credit cards,,HELOC,0,false,,false,
notes_017,rep_note,"Thinks rate is a little too high for HELOC. Said market is at 6%. Not in a rush but can use the money. [NAME] is a ""realtor"" and said it's a little expensive. Likes that there's no appraisal and said he will review with [NAME] again today. Reach out tomorrow","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":""Real estate"",""monthly_revenue"":null,""use_of_funds"":{""category"":""unspecified"",""detail"":null},""requested_amount"":null,""product_interest"":[""HELOC""],""pending_actions"":[{""actor"":""lead"",""action"":""review with [NAME]"",""timing"":""today""},{""actor"":""rep"",""action"":""reach out"",""timing"":""today""}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,Real estate,,unspecified,,HELOC,2,false,,false,
notes_018,rep_note,"[EMAIL]
- Call was with [NAME], who owns commercial property in","{""_extraction_scope"":""lead_only"",""skip_reason"":""too_short"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",too_short,,,,,,0,false,,false,
notes_019,rep_note,"Does $110k+ monthly, [NAME] was last to submit 1/3/2025","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":{""value_usd"":110000,""raw"":""$110k+""},""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,$110k+,,,,0,false,,false,
notes_020,rep_note,[EMAIL] [EMAIL] please send to both. Thanks,"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
notes_021,rep_note,[NAME] requested the contracts for existing MCA's and 2025 pnl/balance sheet,"{""_extraction_scope"":""lead_only"",""skip_reason"":""unrelated"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",unrelated,,,,,,0,false,,false,
notes_022,rep_note,[NAME] soft pitched yesterday seemed interested,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""MCA""],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,,MCA,0,false,,false,
notes_023,rep_note,"wants sba, has healthy taxes, good credit, waiting for debt schedule and mca contracts","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""SBA""],""pending_actions"":[{""actor"":""lead"",""action"":""send debt schedule"",""timing"":null},{""actor"":""lead"",""action"":""send MCA contracts"",""timing"":null}],""has_stacked_history"":true,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,,SBA,2,true,,false,
notes_024,rep_note,[LENDER] - $500 weekly // [LENDER] - $725 weekly,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""MCA""],""pending_actions"":[],""has_stacked_history"":true,""current_active_positions"":{""count"":2,""total_debt_usd"":null},""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,,MCA,0,true,2,false,
notes_025,rep_note,"got heloc approved needed 100k got approved for 108k, pitch 5-8k fee, [NAME] help","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":{""value_usd"":100000,""raw"":""100k""},""product_interest"":[""HELOC""],""pending_actions"":[{""actor"":""rep"",""action"":""pitch 5-8k fee"",""timing"":null}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,100k,HELOC,1,false,,false,
notes_026,rep_note,[NAME] brought in last year was doing 40k-50k monthly,"{""_extraction_scope"":""lead_only"",""skip_reason"":""unrelated"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",unrelated,,,,,,0,false,,false,
notes_027,rep_note,got LOC through [BANK] - does 80k per month - has prop - circle back in a couple m,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":{""value_usd"":80000,""raw"":""80k per month""},""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""LOC"",""HELOC""],""pending_actions"":[{""actor"":""rep"",""action"":""circle back"",""timing"":""later""}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,80k per month,,,"LOC,HELOC",1,false,,false,
notes_028,rep_note,"would look at 100k over 10 year, [LOCATION], 560, 1M+ 2025, has a mortgate, 90-100k, 2 mca,","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":{""value_usd"":100000,""raw"":""100k""},""product_interest"":[""HELOC""],""pending_actions"":[],""has_stacked_history"":true,""current_active_positions"":{""count"":2,""total_debt_usd"":null},""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,100k,HELOC,0,true,2,false,
notes_029,rep_note,650 credit. Looking for money NOW. Said busy all day today. Sent [NAME] a HELOC approval from the past and is texting me. Has an MCA.,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""HELOC"",""MCA""],""pending_actions"":[],""has_stacked_history"":true,""current_active_positions"":{""count"":1,""total_debt_usd"":null},""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,,"HELOC,MCA",0,true,1,false,
notes_030,rep_note,Have a heloc for 55k and mca for 46k righ tnow to pitch,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""HELOC"",""MCA""],""pending_actions"":[{""actor"":""rep"",""action"":""pitch HELOC for 55k and MCA for 46k"",""timing"":null}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,,"HELOC,MCA",1,false,,false,
inbound_001,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_002,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_003,client_sms,I'm not interested I'm not filling out any application to find out imma pass,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
inbound_004,client_sms,"Well, that would be nice","{""_extraction_scope"":""lead_only"",""skip_reason"":""too_short"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",too_short,,,,,,0,false,,false,
inbound_005,client_sms,On a rental property?,"{""_extraction_scope"":""lead_only"",""skip_reason"":""too_short"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",too_short,,,,,,0,false,,false,
inbound_006,client_sms,How many years of tax returns ?,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
inbound_007,client_sms,"Go for it, i am waiting for the funds.
My contact info are the same","{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
inbound_008,client_sms,"I should have a chance to take a look at it this afternoon, right now I'm cooking in my restaurant","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":""Restaurant"",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[""MCA""],""pending_actions"":[{""actor"":""lead"",""action"":""review offer documents"",""timing"":""today""}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,Restaurant,,,,MCA,1,false,,false,
inbound_009,client_sms,"can we get a deal
done tomorrow or na","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[{""actor"":""rep"",""action"":""respond on timeline feasibility"",""timing"":""today""}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,,,1,false,,false,
inbound_010,client_sms,Don't need no credit cicnt apply for any,"{""_extraction_scope"":""lead_only"",""skip_reason"":""unintelligible"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",unintelligible,,,,,,0,false,,false,
inbound_011,client_sms,"What type of loan?
I am not interested in a MCA","{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[{""actor"":""rep"",""action"":""clarify loan product options excluding MCA"",""timing"":null}],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,,,,1,false,,false,
inbound_012,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_013,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_014,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_015,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_016,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_017,client_sms,"Good morning, 

[EMAIL]","{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_018,client_sms,You will have to give me a heads up as well. My phone declines any number not saved,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
inbound_019,client_sms,Sorry not atm I'm at 590 thank you though,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
inbound_020,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_021,client_sms,Have not received yet,"{""_extraction_scope"":""lead_only"",""skip_reason"":""too_short"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",too_short,,,,,,0,false,,false,
inbound_022,client_sms,Unfortunately  I have $0 revenue coming in at the moment.,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":{""value_usd"":0,""raw"":""$0""},""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,$0,,,,0,false,,false,
inbound_023,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_024,client_sms,All my shit is good but I am to busy to go fishing,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
inbound_025,client_sms,"[EMAIL]
Although I lost my mother Monday so responding will be slow","{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_026,client_sms,"Fuck you and your bitch, faggot","{""_extraction_scope"":""lead_only"",""skip_reason"":""unintelligible"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",unintelligible,,,,,,0,false,,false,
inbound_027,client_sms,Now! It's not 2000 dollars.I need 20000 to upgrade equipment.,"{""_extraction_scope"":""lead_only"",""skip_reason"":null,""industry"":"""",""monthly_revenue"":null,""use_of_funds"":{""category"":""equipment"",""detail"":""upgrade equipment""},""requested_amount"":{""value_usd"":20000,""raw"":""20000""},""product_interest"":[""EQUIPMENT""],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",,,,equipment: upgrade equipment,20000,EQUIPMENT,0,false,,false,
inbound_028,client_sms,what email do I send them to?,"{""_extraction_scope"":""lead_only"",""skip_reason"":""no_signal"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",no_signal,,,,,,0,false,,false,
inbound_029,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
inbound_030,client_sms,Mother fucker get life,"{""_extraction_scope"":""lead_only"",""skip_reason"":""unintelligible"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",unintelligible,,,,,,0,false,,false,
inbound_031,client_sms,[EMAIL],"{""_extraction_scope"":""lead_only"",""skip_reason"":""contact_info_only"",""industry"":"""",""monthly_revenue"":null,""use_of_funds"":null,""requested_amount"":null,""product_interest"":[],""pending_actions"":[],""has_stacked_history"":false,""current_active_positions"":null,""recent_stacking_activity"":{""active"":false,""window"":null}}",contact_info_only,,,,,,0,false,,false,
